name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.scale,model.gen_dim,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_2634d_00000,0.9876465631432984,0.8975331213762194,0.9334274422849608,-2.7493466234956534,0.8709607435221004,0.3769971682054369,0.3924236303351447,-0.8683529036158263,0.2161613889620655,-0.03040282690952502,murray_rec_pfc,odinlin_arprior,2,0.2163894095744779,0.05,10,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_2634d_00001,0.9887363479947348,0.8958779572276524,0.9602158443176207,-0.5150192078415968,0.8952204944703699,0.5761440885948919,0.5182094704768339,-1.2639216236638284,0.13700537836149165,-0.36089110665708807,murray_rec_pfc,odinlin_mvnprior,4,0.4174499965861691,0.05,20,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_2634d_00002,0.988135319022349,0.9065031622901574,0.9678245248770784,0.12230917860941008,0.85389603431047,0.43136766864695175,0.009062590655432468,-1.9425229911435462,0.009062590655421587,-0.1430525733668244,murray_rec_pfc,odinlin_arprior,1,0.27026224824102363,0.05,20,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_2634d_00003,0.9886559038850813,0.906356589827141,0.9567364356555499,-0.5807272884453007,0.9544385377117355,0.5466879287069099,0.6425212534321303,-0.2305171527573937,0.3226405961563788,-0.00025813953831570836,murray_rec_pfc,odinlin_arprior,2,0.2497133105998256,0.05,5,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_2634d_00004,0.9885089277091393,0.9009141044985006,0.967114122417567,-0.0011966264615774827,0.89233084266455,0.6319845293148741,0.7501686319090604,-0.17387838860915958,0.3471978296895881,-0.24506947894138484,murray_rec_pfc,odinlin_mvnprior,4,0.4742167937922779,0.05,20,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_2634d_00005,0.9881916938703249,0.9017500107176395,0.9611200913104379,-0.06099391442497931,0.9165324573969164,0.6772734601900114,0.23613196539917047,-1.617093167239827,0.12149347705344243,-0.5667267352920878,murray_rec_pfc,odinlin_arprior,2,0.41014172899029033,0.05,20,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_2634d_00006,0.9883279001124803,0.8953281469046727,0.9516334858207263,-0.6206598933032389,0.8729237063300795,0.45179597626738144,0.10571778191276149,-1.9210033352389457,0.05351551031023927,-0.30360163874775997,murray_rec_pfc,odinlin_arprior,2,0.32874775643037685,0.05,20,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_2634d_00007,0.9883354947256006,0.8977431396494245,0.9127055842889857,-2.650523798796534,0.9180230379836234,-1.4081799896239753,0.9301235388284078,0.6829212207493347,0.9301235388284076,-1.195125893936578,murray_rec_pfc,odinlin_arprior,1,0.44927485787441696,0.05,5,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_2634d_00008,0.988958310980814,0.9075095106487975,0.9484248631170467,-0.8540911936838477,0.9015428734985764,-1.4552808396478232,0.9373786416135619,0.698840151660256,0.4758446023951726,-0.521562801674173,murray_rec_pfc,odinlin_arprior,4,0.33444682421826416,0.05,5,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_2634d_00009,0.9889672407563942,0.904111242290073,0.9531140825738069,-1.3525914598434297,0.9268765756069891,-1.0327831784941244,0.8912444968182938,0.5276651632594849,0.5740156524366122,-0.9664524009695068,murray_rec_pfc,odinlin_mvnprior,4,0.3618207359286113,0.05,5,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_2634d_00010,0.987989116453708,0.8959366347214552,0.9560794427556176,-0.43498043759204197,0.865356061654019,0.386702167018306,0.21853140949625882,-2.010151288216608,0.04713728420895319,-0.3049990741513028,murray_rec_pfc,odinlin_arprior,4,0.5768452442025991,0.05,20,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_2634d_00011,0.9872781795050245,0.8583690268812644,0.9568514093994237,-0.6386534305080355,0.8970967074808908,-0.5523948986604944,0.6391621248849242,-0.3297975752037022,0.5387823460256332,-3.165541949951932,murray_rec_pfc,odinlin_mvnprior,2,0.5818361974762949,0.05,10,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_2634d_00012,0.9859631213321695,0.8528255329562255,0.9301505114703179,-1.5964126952518185,0.91510902662164,-1.5444698330896234,0.9487389912406835,0.7602549927507735,0.5666640062842657,0.007199163858041366,murray_rec_pfc,odinlin_arprior,4,0.5030915381233165,0.05,5,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_2634d_00013,0.9882786338549181,0.8920189603937306,0.9618279188991976,-0.7704835027807851,0.8931027063235806,0.610340823744702,0.2285869529114274,-1.3256062506881134,0.22858695291142894,-0.06096139318829951,murray_rec_pfc,odinlin_mvnprior,1,0.48445715119589994,0.05,20,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_2634d_00014,0.9874669903564325,0.8746304911531384,0.9755731847730242,0.4128100012934855,0.9137744769764046,0.6587559457778652,0.41249295401469643,-1.3813460190891893,0.1115373215559328,-0.23781532717500828,murray_rec_pfc,odinlin_arprior,4,0.5454560360982303,0.05,20,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_2634d_00015,0.9880601297648965,0.899242004211997,0.9591525389452975,-0.05478891472587464,0.9066323246779285,0.6615788195601503,0.5355333602716699,-0.5246668905035686,0.32975145594156563,-0.43895517489336683,murray_rec_pfc,odinlin_mvnprior,2,0.5289495310172281,0.05,20,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_2634d_00016,0.9873990309438946,0.883599455441674,0.9579051420813847,0.014416196985693212,0.8181333808828365,-0.7029573388570528,0.06240371330005712,-2.0679392825309995,0.06240371330004968,-0.0735870170608033,murray_rec_pfc,odinlin_arprior,1,0.3771011315898126,0.05,10,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_2634d_00017,0.9880342346077307,0.8857579589919877,0.9702828801991823,-0.2562026846785823,0.9461441497163099,-0.10642084338716072,0.9333103398728226,0.6844363261736656,0.473912835609929,-1.0706552215616132,murray_rec_pfc,odinlin_arprior,2,0.4876879091306961,0.05,5,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_2634d_00018,0.9876180882407054,0.8920316814915095,0.9058207846966568,-6.44834023402042,0.9111488428098584,0.2809020148476711,0.32714024669272623,-1.0501497307956755,0.3271402466927126,0.0004900278675187951,murray_rec_pfc,odinlin_mvnprior,1,0.22667600350684058,0.05,10,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_2634d_00019,0.9875217122172437,0.8476566255791297,0.9544218432004198,-1.770225688880428,0.8983074144100318,0.5546624205250148,0.4283984670301848,-1.2986333450286975,0.16336145200454136,-0.46666392655502537,murray_rec_pfc,odinlin_arprior,4,0.296670285637738,0.05,5,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
