name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.ci_enc_dim,model.co_dim,model.con_dim,model.dropout_rate,model.ext_input_dim,model.gen_cell.rank,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_51fad_00000,0.9917404166812668,0.8792036235177341,0.9876732290297735,0.6799286334584147,0.8849854311731689,0.6998760165915355,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.3079146855055481,2,8,1.2076665792328135e-06,1.120941392828578e-06,0.447736303184423,0.1790939671847833
run_model_51fad_00001,0.9881084523030609,0.7482152995518168,0.9709389319297934,0.0664665926381027,0.8151193064372553,0.6109428670547292,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.44265431030687197,2,5,2.8773528450070836e-05,4.274398161693904e-05,0.18340628601973463,0.5499075661406078
run_model_51fad_00002,0.9917106723320191,0.9429745397553604,0.9922062879453665,0.893997788895631,0.9595593279744307,0.7979513212498867,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.5429617106350277,2,8,1.1672695343339098e-06,0.00015451346766855238,0.2836061794577942,0.0005042228030788948
run_model_51fad_00003,0.9882692016219387,0.828099965977882,0.9669141578884792,-0.5125782984200087,0.8496952651917233,0.6615820294788732,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.41658448809963666,2,2,3.975793149585637e-06,1.8537948170285836e-05,0.0003141471369267714,0.00012980119315177805
run_model_51fad_00004,0.974953505622203,0.6571422845149761,0.864465681378456,-6.469993642789543,0.8155869522897161,0.6369576562432894,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.4588758046297,2,2,1.7012581665586315e-05,1.4159002641738985e-05,0.8381878382308892,0.9746299280198961
run_model_51fad_00005,0.9918190184957989,0.9394636261930198,0.9925564383492327,0.8988953166613438,0.9556075585661719,0.7751080102107455,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.4742167937922779,2,8,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_51fad_00006,0.9898143528959523,0.8179269047511735,0.9846035583965607,0.33202341707057664,0.8680379631962183,0.6507442849598554,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.41014172899029033,2,5,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_51fad_00007,0.9924490057750296,0.9357140735284367,0.9922954904309833,0.8782638843371853,0.9385834368551318,0.7839701553097324,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.3431180786836281,2,8,1.3901435898886447e-05,9.238642740866005e-06,0.002247216433003018,0.023834174836194107
run_model_51fad_00008,0.9917521087050002,0.9411398618032328,0.9926917144648139,0.8995584026032442,0.9542828279833057,0.7110424515783272,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.5561097408019169,2,8,2.8465262102705984e-06,7.40562017831689e-05,0.21408024377043972,0.00021680104655789
run_model_51fad_00009,0.991808844837033,0.9429806883928827,0.9923762211642699,0.8926758647591301,0.9674222338320759,0.8185061599629518,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.5148393229954733,2,5,3.011195037241742e-06,0.0004260422723978781,0.002210386615698376,0.00017150316503695493
run_model_51fad_00010,0.9920980840035406,0.9482881358051423,0.9924832900181477,0.8990027967765937,0.954969475769837,0.7954935544268495,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.3801357466597148,2,5,3.914249822693202e-05,4.91956413795156e-06,0.004151522148940408,0.00016146753089889106
run_model_51fad_00011,0.9842331579354213,0.8886747295482501,0.9690889264359543,-0.3687961300241677,0.9275216881774624,0.6934858488287059,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.27940521780370214,2,2,1.5188192442250788e-06,5.508040919108843e-05,0.0487505491116247,0.0015659739427482423
run_model_51fad_00012,0.9920105234592398,0.9255159050268108,0.9919876993238355,0.893147719615281,0.963785942799356,0.793139887760011,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.5768452442025991,2,8,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_51fad_00013,0.9846626608578793,0.8620352212865016,0.9679105572433377,-0.5391094185688022,0.9108561442658472,0.7047080651220737,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.3761508618863136,2,2,8.112990872598311e-05,3.160002608104065e-05,0.030258946818595134,0.00502243701857817
run_model_51fad_00014,0.9921597079568744,0.9421662773940718,0.9914680405543626,0.8479888313720128,0.9715700426445477,0.7952168233289999,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.5795774699751062,2,5,8.319366913037657e-06,0.00018758000190104764,0.013099316659429152,0.009765416748471062
run_model_51fad_00015,0.9923809622505106,0.9082924329995106,0.9902805101190222,0.8147569303874649,0.9455084435345662,0.7580781105221002,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.514314280285523,2,8,6.750123188717693e-06,0.00015975362270646024,0.5348583084032942,0.06991518512855577
run_model_51fad_00016,0.9879070719060309,0.7955933467379839,0.9741676251205253,0.07069279123191163,0.7575237457955166,0.5708970047289065,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.4916060468305237,2,2,7.158925736252976e-05,0.0008012694224409808,0.2848133624214829,0.00011450520269350504
run_model_51fad_00017,0.9747608658887715,0.5787054298062787,0.8608425696229511,-6.862472051473549,0.8359604193881643,0.6757265351351246,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.5924780160265377,2,2,8.211459575535272e-05,2.7944222890926728e-06,0.36286261237414746,0.7771686176112378
run_model_51fad_00018,0.9864992581971244,0.6940229492324576,0.9654709178447954,-0.21160145964503146,0.8485083489846394,0.6777751714932494,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.39199516952313285,2,5,2.9157201573491496e-06,0.0002544730154631358,0.0011601685521086444,0.4944480166074264
run_model_51fad_00019,0.9913931627707572,0.9441777166511959,0.9921596756949922,0.887270160941747,0.9727286201752763,0.7598233352547364,,,,,murray_rec_pfc_ext,lr_mvnprior,0,0,0,0.4155737630488747,2,8,7.682554643764785e-06,0.0006209433036483197,0.08472757617947982,0.00014522548808255627
