name,rate_r2,st_rate_r2,fwd_latent_r2,st_fwd_latent_r2,bwd_latent_r2,st_bwd_latent_r2,fwd_input_r2,st_fwd_input_r2,bwd_input_r2,st_bwd_input_r2,datamodule,model,model.co_dim,model.dropout_rate,model.gen_cell.rank,model.kl_co_scale,model.kl_ic_scale,model.l2_con_scale,model.l2_gen_scale
run_model_81cc8_00000,0.9808808284314572,0.7361544952272192,0.9838555280248815,0.6208509794579362,0.8748290422915416,0.43173998815935133,0.22170534633753503,-0.411533059098837,0.10744860645924059,-5.151327809444534,murray_recnf_pfc,lr_arprior,2,0.2163894095744779,5,1.0790840445381398e-06,0.00027530285650729846,0.02670195766859458,0.447736303184423
run_model_81cc8_00001,0.9788733031331519,0.7011102874676817,0.9819098372769154,0.5875331629558678,0.9400715891726177,0.32144191063784117,0.5213473952512528,-0.14643770776821316,0.2537552096978474,-0.5712649950663327,murray_recnf_pfc,lr_mvnprior,4,0.4174499965861691,8,7.415575271957047e-05,0.00028025970618041296,0.26891628709146725,0.00010255432976732007
run_model_81cc8_00002,0.9768123365086157,0.7121033703296294,0.9800949173613288,0.60867981085451,0.9050383196955608,0.23242906277897193,0.22079469183255385,-0.5378938250808517,0.22079469183254252,-0.009475607744177843,murray_recnf_pfc,lr_arprior,1,0.27026224824102363,8,5.3254688005638946e-05,4.2109846735288526e-05,0.004906241083254889,0.0015806931168292108
run_model_81cc8_00003,0.9792790322498656,0.7345185451073453,0.9806557821794767,0.3657518726166433,0.8941149686165368,0.2827211702891357,0.23404203040142768,-0.43843846016173926,0.11504058632074815,-1.474492069123539,murray_recnf_pfc,lr_arprior,2,0.2497133105998256,2,2.194061664763006e-05,8.741149231878368e-05,0.003425391510598943,0.02894279349282436
run_model_81cc8_00004,0.9785613654325817,0.7034733226286025,0.9814487927255073,0.5559794180447325,0.9355119971827456,0.24553778818942015,0.22399754098957603,-0.42076150395529066,0.12397253643071199,-1.128280452433794,murray_recnf_pfc,lr_mvnprior,4,0.4742167937922779,8,1.999486851269563e-05,0.00011623587566145872,0.00034704518246694713,0.0035948907446999856
run_model_81cc8_00005,0.9792102839249875,0.7013068359755082,0.9807235777158652,0.5675448114032094,0.9387094080337279,0.31417152881282284,0.1958562742791885,-0.4473141374554344,0.1753097582095413,-6.970016622765934,murray_recnf_pfc,lr_arprior,2,0.41014172899029033,8,4.173339838585534e-06,2.8675174965950767e-05,0.544720931485979,0.3613693690103395
run_model_81cc8_00006,0.9787720523532278,0.6941540015081139,0.9811592976703067,0.44500422358975766,0.9392468169281039,0.19515839201652124,0.215560990468198,-0.43080524380369417,0.10776183892228741,-2.6636215189541694,murray_recnf_pfc,lr_arprior,2,0.32874775643037685,8,1.5438320775328534e-05,1.0321282770792003e-05,0.3639966678769467,0.0036853267721421
run_model_81cc8_00007,0.9779732664459969,0.7323421818622923,0.9810357701126029,0.5842999991784932,0.9492919049815155,0.1475138194717228,0.1956296644061789,-0.4717929993119542,0.19562966440618446,-4.255255189274407,murray_recnf_pfc,lr_arprior,1,0.44927485787441696,2,1.4724165394272428e-06,0.00031472587015729465,0.0009067295552309306,0.14073211999726248
run_model_81cc8_00008,0.980337648002345,0.7324868959584188,0.9834526802048899,0.6299091670306468,0.9544557963248491,0.3776848677453516,0.23634347936531197,-0.38276921711365763,0.13943293347187236,-4.740338039116914,murray_recnf_pfc,lr_arprior,4,0.33444682421826416,2,1.9978318559628793e-06,2.2439754432582903e-05,0.0008366982024887132,0.1532135167445378
run_model_81cc8_00009,0.9795451060380771,0.7392216134442989,0.9829775547086805,0.6199453035065425,0.953590324367085,0.28047748528700994,0.2626605712430994,-0.44782824170731106,0.1243616314065861,-6.7579194456241956,murray_recnf_pfc,lr_mvnprior,4,0.3618207359286113,2,2.4947445872003437e-06,1.8717986807898475e-06,0.0015659739427482423,0.020957020776530798
run_model_81cc8_00010,0.9768585735465819,0.6888325096103158,0.9796287095590557,0.5085356954913892,0.9541498149737162,0.03454937766038627,0.18457182420269114,-0.4561740227324154,0.07869279410798458,-5.253769571168357,murray_recnf_pfc,lr_arprior,4,0.5768452442025991,8,5.373043250973052e-06,2.0724584806382103e-06,0.5112322143469579,0.03284222757620249
run_model_81cc8_00011,0.244929288433429,-45.26547699214281,0.2647944470886585,-30.22694252571754,0.13690503739867402,-0.9523798270544221,0.01233459334155873,-0.6764452504035398,0.006856631134011026,-0.07705004045713217,murray_recnf_pfc,lr_mvnprior,2,0.5818361974762949,5,9.995203193841142e-06,1.886626257594488e-05,0.9558418047801032,0.030258946818595134
run_model_81cc8_00012,0.9784908177175032,0.7360207325953273,0.9815500627659117,0.6110751931272261,0.9645583404690221,0.16224933445674694,0.2154824229325666,-0.41880291292910404,0.1030302159174222,-5.199374696341882,murray_recnf_pfc,lr_arprior,4,0.5030915381233165,2,9.882012319599208e-06,3.872010092072568e-05,0.004556416306286427,0.13904097446453836
run_model_81cc8_00013,0.974267975909393,0.6553954650004475,0.9779920996092559,0.41256813836174605,0.9297062569945005,0.29884340849371177,0.2642318278353859,-0.3780697252905967,0.2642318278353599,-1.5446712906445945,murray_recnf_pfc,lr_mvnprior,1,0.48445715119589994,8,7.31340077120962e-05,2.2120650793541792e-06,0.5125021769718517,0.0824252870568575
run_model_81cc8_00014,0.9698828775834585,0.617148580393804,0.9734140745985044,0.4217951646461073,0.9201234392217259,-0.135572720271242,0.2491777198663887,-0.4782584119962793,0.09329152392859177,-0.012400268902379661,murray_recnf_pfc,lr_arprior,4,0.5454560360982303,8,9.17043802367711e-05,0.0007440986880783408,0.7771686176112378,0.0003936008692949492
run_model_81cc8_00015,0.9779883204363543,0.6665981033742701,0.9781794162239283,0.31667919896468094,0.936827332559175,0.31187195136927826,0.19998516398133326,-0.4322945050742946,0.15398821819263242,-2.581350161507906,murray_recnf_pfc,lr_mvnprior,2,0.5289495310172281,8,9.119601211802485e-06,4.978732110473153e-06,0.4944480166074264,0.16125838828239542
run_model_81cc8_00016,0.976835468095684,0.7004917063128631,0.9780115249134063,0.5438972874225602,0.8719235295327374,0.24031063581247844,0.298739347962657,-0.42125859197973886,0.2987393479626572,-0.019174266948036284,murray_recnf_pfc,lr_arprior,1,0.3771011315898126,5,7.278378422250213e-05,1.3229155872682771e-06,0.028674310771021234,0.08472757617947982
run_model_81cc8_00017,0.9778875095645276,0.6900472144333507,0.9782411946581528,0.43588558214876943,0.94682058027783,0.08242913766349995,0.19107754303468838,-0.4568463340475445,0.1187537329439039,-19.29733981355582,murray_recnf_pfc,lr_arprior,2,0.4876879091306961,2,1.0764242151322422e-06,0.00018786808438546034,0.5204953850233812,0.011246953330982433
run_model_81cc8_00018,0.979961623107556,0.7422479252514806,0.9830727884500694,0.6028113438296892,0.9110478303133868,0.3073162875888626,0.21508839738412444,-0.45650235308254866,0.21508839738411423,-2.3117761333385825,murray_recnf_pfc,lr_mvnprior,1,0.22667600350684058,5,4.88224936504485e-06,1.9538723894770714e-05,0.017738927915705752,0.73155725749674
run_model_81cc8_00019,0.977111415233004,0.7116670054401428,0.9792949005928406,0.499264916501778,0.8632163280146896,0.3411216212095492,0.238246161958654,-0.3913314154801734,0.14636728951914998,-3.1773963753891596,murray_recnf_pfc,lr_arprior,4,0.296670285637738,2,5.973606918604021e-05,4.760014604973908e-06,0.001423387108142767,0.000314933473619592
